ID,Procedure Name,Specialty,Procedure Code,Equipment/Infra Required,Cost (INR),Typically Available In,Not Feasible in Tier-3 Due to
32,Liver Transplant,Hepatology,HEP001032,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
33,Bone Marrow Transplant,Hematology,HEM001033,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
34,Bone Marrow Transplant,Hematology,HEM001034,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
35,Liver Transplant,Hepatology,HEP001035,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
36,Bone Marrow Transplant,Hematology,HEM001036,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
37,Gamma Knife Radiosurgery,Neurosurgery,NS001037,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
38,Robotic-Assisted Prostatectomy,Urology,URO001038,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
39,Bone Marrow Transplant,Hematology,HEM001039,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
40,CAR-T Cell Therapy,Immuno-Oncology,ONC004040,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
41,CAR-T Cell Therapy,Immuno-Oncology,ONC004041,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
42,Robotic-Assisted Prostatectomy,Urology,URO001042,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
43,Liver Transplant,Hepatology,HEP001043,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
44,Bone Marrow Transplant,Hematology,HEM001044,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
45,CAR-T Cell Therapy,Immuno-Oncology,ONC004045,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
46,CAR-T Cell Therapy,Immuno-Oncology,ONC004046,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
47,Robotic-Assisted Prostatectomy,Urology,URO001047,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
48,Robotic-Assisted Prostatectomy,Urology,URO001048,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
49,Bone Marrow Transplant,Hematology,HEM001049,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
50,Robotic-Assisted Prostatectomy,Urology,URO001050,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
51,Gamma Knife Radiosurgery,Neurosurgery,NS001051,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
52,Liver Transplant,Hepatology,HEP001052,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
53,Gamma Knife Radiosurgery,Neurosurgery,NS001053,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
54,Bone Marrow Transplant,Hematology,HEM001054,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
55,CAR-T Cell Therapy,Immuno-Oncology,ONC004055,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
56,Gamma Knife Radiosurgery,Neurosurgery,NS001056,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
57,Bone Marrow Transplant,Hematology,HEM001057,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
58,CAR-T Cell Therapy,Immuno-Oncology,ONC004058,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
59,Gamma Knife Radiosurgery,Neurosurgery,NS001059,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
60,Robotic-Assisted Prostatectomy,Urology,URO001060,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
61,Bone Marrow Transplant,Hematology,HEM001061,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
62,Robotic-Assisted Prostatectomy,Urology,URO001062,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
63,Liver Transplant,Hepatology,HEP001063,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
64,Gamma Knife Radiosurgery,Neurosurgery,NS001064,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
65,CAR-T Cell Therapy,Immuno-Oncology,ONC004065,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
66,Robotic-Assisted Prostatectomy,Urology,URO001066,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
67,Liver Transplant,Hepatology,HEP001067,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
68,Gamma Knife Radiosurgery,Neurosurgery,NS001068,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
69,CAR-T Cell Therapy,Immuno-Oncology,ONC004069,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
70,Bone Marrow Transplant,Hematology,HEM001070,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
71,Gamma Knife Radiosurgery,Neurosurgery,NS001071,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
72,Gamma Knife Radiosurgery,Neurosurgery,NS001072,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
73,CAR-T Cell Therapy,Immuno-Oncology,ONC004073,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
74,Liver Transplant,Hepatology,HEP001074,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
75,Gamma Knife Radiosurgery,Neurosurgery,NS001075,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
76,Robotic-Assisted Prostatectomy,Urology,URO001076,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
77,CAR-T Cell Therapy,Immuno-Oncology,ONC004077,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
78,Bone Marrow Transplant,Hematology,HEM001078,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
79,Liver Transplant,Hepatology,HEP001079,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
80,Robotic-Assisted Prostatectomy,Urology,URO001080,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
81,Liver Transplant,Hepatology,HEP001081,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
82,Gamma Knife Radiosurgery,Neurosurgery,NS001082,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
83,Robotic-Assisted Prostatectomy,Urology,URO001083,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
84,Gamma Knife Radiosurgery,Neurosurgery,NS001084,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
85,Gamma Knife Radiosurgery,Neurosurgery,NS001085,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
86,Gamma Knife Radiosurgery,Neurosurgery,NS001086,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
87,Robotic-Assisted Prostatectomy,Urology,URO001087,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
88,CAR-T Cell Therapy,Immuno-Oncology,ONC004088,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
89,Gamma Knife Radiosurgery,Neurosurgery,NS001089,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
90,Gamma Knife Radiosurgery,Neurosurgery,NS001090,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
91,Bone Marrow Transplant,Hematology,HEM001091,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
92,CAR-T Cell Therapy,Immuno-Oncology,ONC004092,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
93,Liver Transplant,Hepatology,HEP001093,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
94,Bone Marrow Transplant,Hematology,HEM001094,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
95,Bone Marrow Transplant,Hematology,HEM001095,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
96,Liver Transplant,Hepatology,HEP001096,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
97,Bone Marrow Transplant,Hematology,HEM001097,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
98,Liver Transplant,Hepatology,HEP001098,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
99,Gamma Knife Radiosurgery,Neurosurgery,NS001099,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
100,Liver Transplant,Hepatology,HEP001100,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
101,Bone Marrow Transplant,Hematology,HEM001101,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
102,Robotic-Assisted Prostatectomy,Urology,URO001102,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
103,Bone Marrow Transplant,Hematology,HEM001103,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
104,Liver Transplant,Hepatology,HEP001104,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
105,Gamma Knife Radiosurgery,Neurosurgery,NS001105,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
106,Gamma Knife Radiosurgery,Neurosurgery,NS001106,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
107,CAR-T Cell Therapy,Immuno-Oncology,ONC004107,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
108,Gamma Knife Radiosurgery,Neurosurgery,NS001108,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
109,Gamma Knife Radiosurgery,Neurosurgery,NS001109,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
110,Robotic-Assisted Prostatectomy,Urology,URO001110,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
111,CAR-T Cell Therapy,Immuno-Oncology,ONC004111,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
112,Bone Marrow Transplant,Hematology,HEM001112,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
113,Robotic-Assisted Prostatectomy,Urology,URO001113,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
114,Robotic-Assisted Prostatectomy,Urology,URO001114,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
115,CAR-T Cell Therapy,Immuno-Oncology,ONC004115,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
116,Robotic-Assisted Prostatectomy,Urology,URO001116,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
117,Robotic-Assisted Prostatectomy,Urology,URO001117,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
118,Liver Transplant,Hepatology,HEP001118,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
119,CAR-T Cell Therapy,Immuno-Oncology,ONC004119,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
120,Bone Marrow Transplant,Hematology,HEM001120,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
121,Liver Transplant,Hepatology,HEP001121,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
122,Bone Marrow Transplant,Hematology,HEM001122,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
123,Gamma Knife Radiosurgery,Neurosurgery,NS001123,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
124,Gamma Knife Radiosurgery,Neurosurgery,NS001124,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
125,Bone Marrow Transplant,Hematology,HEM001125,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
126,CAR-T Cell Therapy,Immuno-Oncology,ONC004126,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
127,CAR-T Cell Therapy,Immuno-Oncology,ONC004127,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
128,Liver Transplant,Hepatology,HEP001128,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
129,Liver Transplant,Hepatology,HEP001129,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
130,Robotic-Assisted Prostatectomy,Urology,URO001130,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
131,Robotic-Assisted Prostatectomy,Urology,URO001131,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
132,CAR-T Cell Therapy,Immuno-Oncology,ONC004132,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
133,Robotic-Assisted Prostatectomy,Urology,URO001133,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
134,Gamma Knife Radiosurgery,Neurosurgery,NS001134,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
135,Gamma Knife Radiosurgery,Neurosurgery,NS001135,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
136,Robotic-Assisted Prostatectomy,Urology,URO001136,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
137,Robotic-Assisted Prostatectomy,Urology,URO001137,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
138,Bone Marrow Transplant,Hematology,HEM001138,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
139,Gamma Knife Radiosurgery,Neurosurgery,NS001139,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
140,Gamma Knife Radiosurgery,Neurosurgery,NS001140,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
141,CAR-T Cell Therapy,Immuno-Oncology,ONC004141,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
142,CAR-T Cell Therapy,Immuno-Oncology,ONC004142,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
143,Robotic-Assisted Prostatectomy,Urology,URO001143,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
144,Bone Marrow Transplant,Hematology,HEM001144,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
145,CAR-T Cell Therapy,Immuno-Oncology,ONC004145,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
146,Bone Marrow Transplant,Hematology,HEM001146,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
147,Bone Marrow Transplant,Hematology,HEM001147,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
148,Gamma Knife Radiosurgery,Neurosurgery,NS001148,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
149,Bone Marrow Transplant,Hematology,HEM001149,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
150,Liver Transplant,Hepatology,HEP001150,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
151,Robotic-Assisted Prostatectomy,Urology,URO001151,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
152,Bone Marrow Transplant,Hematology,HEM001152,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
153,CAR-T Cell Therapy,Immuno-Oncology,ONC004153,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
154,Gamma Knife Radiosurgery,Neurosurgery,NS001154,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
155,Liver Transplant,Hepatology,HEP001155,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
156,Robotic-Assisted Prostatectomy,Urology,URO001156,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
157,Gamma Knife Radiosurgery,Neurosurgery,NS001157,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
158,CAR-T Cell Therapy,Immuno-Oncology,ONC004158,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
159,CAR-T Cell Therapy,Immuno-Oncology,ONC004159,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
160,CAR-T Cell Therapy,Immuno-Oncology,ONC004160,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
161,Robotic-Assisted Prostatectomy,Urology,URO001161,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
162,Bone Marrow Transplant,Hematology,HEM001162,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
163,Gamma Knife Radiosurgery,Neurosurgery,NS001163,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
164,CAR-T Cell Therapy,Immuno-Oncology,ONC004164,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
165,Bone Marrow Transplant,Hematology,HEM001165,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
166,Robotic-Assisted Prostatectomy,Urology,URO001166,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
167,Liver Transplant,Hepatology,HEP001167,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
168,Bone Marrow Transplant,Hematology,HEM001168,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
169,Bone Marrow Transplant,Hematology,HEM001169,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
170,Robotic-Assisted Prostatectomy,Urology,URO001170,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
171,Liver Transplant,Hepatology,HEP001171,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
172,Liver Transplant,Hepatology,HEP001172,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
173,Liver Transplant,Hepatology,HEP001173,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
174,Gamma Knife Radiosurgery,Neurosurgery,NS001174,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
175,Gamma Knife Radiosurgery,Neurosurgery,NS001175,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
176,CAR-T Cell Therapy,Immuno-Oncology,ONC004176,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
177,Gamma Knife Radiosurgery,Neurosurgery,NS001177,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
178,Gamma Knife Radiosurgery,Neurosurgery,NS001178,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
179,Gamma Knife Radiosurgery,Neurosurgery,NS001179,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
180,Gamma Knife Radiosurgery,Neurosurgery,NS001180,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
181,Bone Marrow Transplant,Hematology,HEM001181,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
182,Bone Marrow Transplant,Hematology,HEM001182,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
183,CAR-T Cell Therapy,Immuno-Oncology,ONC004183,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
184,Robotic-Assisted Prostatectomy,Urology,URO001184,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
185,Liver Transplant,Hepatology,HEP001185,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
186,Bone Marrow Transplant,Hematology,HEM001186,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
