Specialty,Specialty Code,Package Code,Package Name,Procedure Code,Procedure Name,Procedure Price
"General Medicine, Pediatric",Medical Management,MG,New Package,MG052,Myxedema coma MG052A Myxedema coma,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG053,Thyrotoxic crisis MG053A Thyrotoxic crisis,1800
General Medicine,MG,New Package,MG054,Gout,MG054A Gout,1800
"General Medicine, Pediatric",Medical Management,MG,M100006,MG055,Pneumothroax MG055A Pneumothroax,1800
"General Medicine, Pediatric",Medical Management,MG,"M100040,",M200054,MG056 Neuromuscular disorders MG056A Neuromuscular disorders,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG057,Hypoglycemia MG057A Hypoglycemia,1800
General Medicine,MG,New Package,MG058,Diabetic Foot,MG058A Diabetic Foot,1800
"General Medicine, Pediatric",Medical Management,MG,"M100010,",M200025,MG059 Diabetic ketoacidosis MG059A Diabetic ketoacidosis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG060,Electrolyte Imbalance MG060A Hypercalcemia,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG060,Electrolyte Imbalance MG060B Hypocalcemia,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG060,Electrolyte Imbalance MG060C Hyponatremia,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG060,Electrolyte Imbalance MG060D Hypernatremia,1800
"General Medicine, Pediatric",Medical Management,MG,M100053,MG061,Hyperosmolar Non-Ketotic coma MG061A Hyperosmolar Non-Ketotic coma,1800
"General Medicine, Pediatric",Medical Management,MG,M100007,MG062,Accelerated hypertension MG062A Accelerated hypertension,1800
"General Medicine, Pediatric",Medical Management,MG,M100049,MG063,Hypertensive emergencies MG063A Hypertensive emergencies,1800
"General Medicine, Pediatric",Medical Management,MG,"M100009,",M200021,MG064 Severe anemia MG064A Severe anemia,1800
"General Medicine, Pediatric",Medical Management,MG,M100042,MG065,Sickle cell Anemia MG065A Sickle cell Anemia,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG066,Anaphylaxis MG066A Anaphylaxis,1800
"General Medicine, Pediatric",Medical Management,MG,M100052,MG067,Heat stroke MG067A Heat stroke,1800
"General Medicine, Pediatric",Medical Management,MG,M100028,MG068,Systematic lupus erythematosus MG068A Systematic lupus erythematosus,1800
"General Medicine, Pediatric",Medical Management,MG,"M100061,",M200082,MG069 Guillian Barre Syndrome MG069A Guillian Barre Syndrome,1800
"General Medicine, Pediatric",Medical Management,MG,M100023,MG070,Snake bite MG070A Snake bite,1800
"General Medicine, Pediatric",Medical Management,MG,M100024,MG071,Poisoning MG071A Acute organophosphorus poisoning,1800
"General Medicine, Pediatric",Medical Management,MG,"M100025,",M200068,MG071 Poisoning MG071B Other poisonings,1800
General Medicine,MG,"M100070,",S100214,MG072,Haemodialysis / Peritoneal Dialysis MG072A Haemodialysis Dialysis,1500
General Medicine,MG,"M100070,",S100252,MG072,Haemodialysis / Peritoneal Dialysis MG072B Peritoneal Dialysis,1500
"General Medicine, Pediatric",Medical Management,MG,M100069,MG073,Plasmapheresis MG073A Plasmapheresis,2000
"General Medicine, Pediatric",Medical Management,MG,"M100068,","M200099,",M200100 MG074 Blood transfusion MG074A Whole Blood transfusion,2000
"General Medicine, Pediatric",Medical Management,MG,"M100068,","M200099,","M200100 MG074 Blood transfusion MG074B Blood component including platelet transfusion (RDP, PC, SDP)",2000
"General Medicine, Pediatric",Medical Management,MG,"M100071,",M200101,"MG075 High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging) MG075A High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)",5000
"General Medicine, Pediatric",Medical Management,MG,"M100072,",M200102,MG076 High end histopathology (Biopsies) and advanced serology investigations MG076A High end histopathology (Biopsies) and advanced serology investigations,5000
Mental Disorders,MM,"M800007,",M800014,MM001,Mental Retardation MM001A Mental Retardation,1500
Mental Disorders,MM,"M800001,",M800008,MM002,"Mental disorders - Organic, including symptomatic MM002A Mental disorders - Organic, including symptomatic                           1,500 Mental Disorders MM M800003, M800010 MM003 Schizophrenia, schizotypal and delusional disorders MM003A Schizophrenia, schizotypal and delusional disorders                           1,500 Mental Disorders MM M800005, M800012 MM004 Neurotic, stress-related and somatoform disorders MM004A Neurotic, stress-related and somatoform disorders",1500
Mental Disorders,MM,"M800004,",M800011,MM005,Mood (affective) disorders MM005A Mood (affective) disorders,1500
Mental Disorders,MM,"M800006,",M800013,MM006,Behavioural syndromes associated with physiological disturbances and physical factors MM006A Behavioural syndromes associated with physiological disturbances and physical factors,1500
Mental Disorders,MM,"M800002,",M800009,MM007,Mental and Behavioural disorders due to psychoactive substance use MM007A Mental and Behavioural disorders due to psychoactive substance use,1500
Mental Disorders,MM,M800015,MM008,Pre - Electro Convulsive Therapy (ECT) and Pre -,"Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels) MM008A Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)",10000
Mental Disorders,MM,M800016,MM009,Electro Convulsive Therapy (ECT) - per session,MM009A Electro Convulsive Therapy (ECT) - per session,3000
Mental Disorders,MM,M800017,MM010,Transcranial Magnetic Stimulation (TMS) - per,session MM010A Transcranial Magnetic Stimulation (TMS) - per session,1000
Page 4,Consolidated Master,Neo - natal Care,MN,M300001,"MN001 Basic neonatal care package: Babies that can be managed by side of mother in postnatal ward without requiring admission in SNCU/NICU: • Any newborn needing feeding support • Babies requiring closer monitoring or short-term care for conditions like: o Birth asphyxia (need for positive pressure ventilation; no HIE) o Moderate jaundice requiring phototherapy o Large for dates (>97 percentile) Babies o Small for gestational age (less than 3rd centile) MN001A Basic neonatal care package: Babies that can be managed by side of mother in postnatal ward without requiring admission in SNCU/NICU: • Any newborn needing feeding support • Babies requiring closer monitoring or short-term care for conditions like: o Birth asphyxia (need for positive pressure ventilation; no HIE) o Moderate jaundice requiring phototherapy o Large for dates (>97 percentile) Babies o Small for gestational age (less than 3rd centile) 500 Neo - natal Care MN M300002 MN002 Special Neonatal Care Package: Babies that required admission to SNCU or NICU: Babies admitted for short term care for conditions like: • Mild Respiratory Distress/tachypnea • Mild encephalopathy • Severe jaundice requiring intensive phototherapy • Haemorrhagic disease of newborn • Unwell baby requiring monitoring • Some dehydration • Hypoglycaemia Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate MN002A Special Neonatal Care Package: Babies that required admission to SNCU or NICU: Babies admitted for short term care for conditions like: • Mild Respiratory Distress/tachypnea • Mild encephalopathy • Severe jaundice requiring intensive phototherapy • Haemorrhagic disease of newborn • Unwell baby requiring monitoring • Some dehydration • Hypoglycaemia Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate",3000
Neo - natal Care,MN,M300003,MN003,Intensive Neonatal Care Package,"Babies with birthweight 1500-1799 g or Babies of any birthweight and at least one of the following conditions: • Need for mechanical ventilation for less than 24 hours or non-invasive respiratory support (CPAP, HFFNC) • Sepsis / pneumonia without complications • Hyperbilirubinemia requiring exchange transfusion • Seizures • Major congenital malformations (pre-surgical stabilization, not requiring ventilation) • Cholestasis significant enough requiring work up and in-hospital management • Congestive heart failure or shock Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate MN003A Intensive Neonatal Care Package Babies with birthweight 1500-1799 g or Babies of any birthweight and at least one of the following conditions: • Need for mechanical ventilation for less than 24 hours or non-invasive respiratory support (CPAP, HFFNC) • Sepsis / pneumonia without complications • Hyperbilirubinemia requiring exchange transfusion • Seizures • Major congenital malformations (pre-surgical stabilization, not requiring ventilation) • Cholestasis significant enough requiring work up and in-hospital management • Congestive heart failure or shock Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate",5000
